eigenCoordinates,labels
"[34.54297405069948, -101.30646718167753, 129.3569472341285, 78.85822315775378, 31.989211884427792, 85.1387986402946, 50.4949721858124, 90.72136771558998, -40.99366592955697, -49.50587005903153, 8.937339212773745, 113.55173812224365, 29.381143228812604, 43.56612042032553, -45.650027642284655, -25.957363935454044, 1.6803370816155354, -114.32051219165054, -34.081737044450165, 77.4523191413931, -84.93367260767198, -71.37816612372634, 61.063064349002914, 0.1942982745504338, -71.80324604414584, -90.20802824046132, -27.85695525673858, 118.16805455804109, 6.621041308462372, 60.81719756531213, 119.3516639166698, -102.77314556295208, -34.797293319268974, 120.0431929546044, 49.04167868437709, -42.58300052053849, 44.91869472627792, -116.89603735289121, -69.17580090105228, 85.80867108689303, 4.40838857532459, -32.502162941065606, -88.49301099175108, -68.84643897079748, 91.64962545832782, -1.3829975367984275, 92.6263875235943, -28.8549317165355, 144.4674171740152, 59.714352855093296, 8.836010752064766, -3.5394040809637417, 11.954896654626197, 3.0066147984496574, 70.4476507271705, 39.179124748039094, 33.798117942152, 38.991403567349565, 8.189502609026917, -88.0518168869333]",person56
"[-109.49381351574749, -82.62179610724942, 116.09297183228458, 35.90275723608488, 77.33652293488092, 28.587324503365462, -30.33793511541666, -34.89638689572093, -32.06597088450887, 17.992019224439673, 32.50658176314706, 126.70792118336459, -62.69325767110971, 16.307043537240194, -8.09749465966854, -44.693426923484516, -35.887407200125345, -159.9767633141937, -63.490170269927226, 15.55944701805496, -104.88296583800545, -131.97627349232278, -19.10478418618377, 3.0942683317280384, -20.576354105434362, -162.70715660885384, 5.497503418066758, 61.7868893541891, 53.66884662411179, 111.71657431805623, 76.26226585632344, -81.20925237304672, -43.85328894511344, 57.29395947846672, -63.368898407124405, 6.987344313620461, 121.44745343662449, -160.78875734708606, -83.92125473324151, 101.81251748191315, 45.760100642895765, -44.88472480416965, -89.23423456045552, -1.487452946344927, 79.90317180823766, -37.31452415338644, 32.34940112900088, -30.832898005135046, 114.21389563703406, 6.34029153247728, -27.580561429218207, -42.76190049917879, 25.155821507207882, 40.406339193799056, 109.73727466567735, 85.46374990001225, 53.69397893550811, 0.8368651122192503, 53.649089026060366, -68.46495535584155]",person51
"[-137.5250402642441, -99.33193221559998, 67.61142047629804, 20.93249979846173, 81.96005464976221, 58.83515265736248, 42.94790295334519, -21.742008795843304, 17.6709331848709, -6.772486590325514, 65.18353434869374, 70.12930495166792, -18.503768277241562, -17.0270949920069, -80.40727373555885, -15.975316282242835, -30.773494950182076, -88.22981911561834, -52.20989912172381, 11.601258950594222, -65.24050865353276, -25.627994708938402, 27.38112479983667, -4.793817108751021, -32.117107220760104, -127.91106303540688, -2.0040478741897663, 6.703098560285532, -27.29667864373891, 46.922687471582, 38.98625623369062, -76.91402119333178, 28.636557449567537, 59.39117241827158, -62.498330879934066, -46.8207007544575, 64.0432299708242, -154.2413617026878, -46.40537296937693, 57.59892184453043, 19.31427869809665, -21.267342261467483, -51.014299553369646, -2.258778610994, 34.60467779203173, 1.1781835667393734, 71.5259550519016, 11.396001542744376, 131.05617608623044, 45.76740670688257, -106.87247619343316, -5.522410630079975, 28.086910982388048, 13.050503380002636, 71.74483603677135, 31.606575943292643, 56.30485248513386, 8.674406276259962, 53.50891398101525, -56.931841535905335]",person32
"[-53.016855423225586, -149.47955606931328, 58.18472414288826, 107.64990007334131, 98.2039784803799, 11.233159604681504, -80.26123201885648, 32.10961934611674, -72.57797669753585, -91.76603656475241, 103.84679547390431, 125.61440169891674, -43.49976333165591, 60.81389680415796, -31.3245508924603, 22.95555644517085, 4.387597860368857, -165.28745117259774, 21.354639815391632, 34.65258997971884, -49.94227846563327, -77.5714673683099, 93.20645761879207, -49.482695092518696, -152.4026349673494, -41.128335013405376, -31.885941223701593, 88.54606043164738, 74.76161094240379, 37.31777047523693, 78.4152764678239, -94.14532812551398, 30.164205301710027, 35.51740682076104, 42.651265221578484, 8.233587775615922, 106.08347615805437, -110.0020939400392, -34.993280180521495, 63.01800629427013, 21.021345194893286, -31.554998693693662, -93.48881629704724, -73.80074685273034, 68.22260083234825, -13.66331874948337, 54.426431081194444, -7.576196604999973, 114.50317593240695, 81.88490768907722, -36.53521613528689, -17.812208593311652, 32.160514070291484, 23.440139379646602, 56.21144264885259, 24.584473129331553, 45.521197508701476, 29.10404627209816, -35.21948287798111, -17.43222443590413]",person41
"[-34.23142537030432, -144.40022820126697, 72.75011899457446, -54.77574383506468, 7.478603161588868, 29.65645169604365, -18.89239772946818, 55.11828805681709, -52.233927180504274, -118.07435392106628, 131.2422474646135, 42.21988711893224, -18.71666283407289, -29.16474923055163, -91.870240635846, -74.60232239844441, -75.34962139268382, -47.808763743184734, -70.61928589127328, 8.498200640265544, -41.64506105711459, -70.29268281939538, -41.02711162479426, -40.90548097160199, -67.45657664680691, 19.62481441786627, -78.8536013820581, 77.89584170422421, 90.17119582058179, 62.15674634938664, 39.745405602205075, -2.8303008435237906, 22.583099157132317, -1.0355832508843221, 2.925529117917783, -6.579900005128032, 29.95702418577962, -60.41155206031669, -20.149726358796265, 68.07759101323691, 30.11268911118706, 13.620004223750573, -108.45057683255371, -53.92459541327263, 59.10661567974859, -2.1907423309161835, 32.90383183798823, -7.649237914154011, -0.29523585686284903, 80.33321071904956, -11.992701141737289, 10.349496849140792, 10.177608094218684, 37.0618185455991, 23.684100288160963, -29.8485216630153, -38.557625327867, 15.045717902225785, -21.18056923064431, -11.753285022258867]",person48
"[-129.57190382074614, -136.79691426727692, 146.16259300814795, 80.18376955634139, 81.28002923070318, -34.98686462076542, 38.415634529017076, 36.957126316935344, 15.628673443018366, -70.13745306281899, -47.59932332688054, 139.8092032500761, -10.059907339526006, -2.3679732991580167, -34.429743918292246, -27.60614039572977, 37.36998640077164, -208.60700167293524, -79.70930914412077, -23.035361039974212, -90.53376811403213, -91.86312589616196, 26.85115067426791, 18.64112140863312, 0.5756946478869516, -67.6903355027878, -4.586424851343729, 97.84861296085784, 5.828478140761353, 115.85030595332887, 47.482624407046295, -116.44062779959708, -35.592401209047615, 42.14399255710549, -22.314808638284717, -53.388276366767485, 48.11341353050503, -160.48680393503258, -69.98850623159674, 55.77250084037837, 51.96482969719856, -72.51329223839384, -99.20437697130679, -64.0884934529987, 108.3748723291331, -41.636102401749255, 58.41499570235821, 32.91019580303179, 149.61504038147785, 48.06675049651844, -18.277100225592893, -7.773377809928505, 7.043878139523322, 27.977290073639686, 105.14286754920094, 51.045675608929706, 70.43459821495365, 4.834043696493448, -6.825525165755785, -33.23693224961063]",person25
"[0.38995204681031126, -49.826537713279585, 54.47495816299927, 63.01461948009301, 95.9755170360568, 7.542907634209129, 52.05667095598396, 13.424958281424924, -97.24973627758641, 60.23106893772047, 73.98990191789217, 34.82532492419543, 2.2173271116441278, 14.10711165206119, -1.264401819954685, -16.01435890096523, -115.15781121986694, -30.350656842525094, -107.60560286900672, 101.91699712865132, 67.48520850817675, -4.2293084340613305, -41.81550275241766, -4.1533998018820455, -43.23404104232887, 63.17574839384777, -7.120146370858037, 50.12508285321196, 41.5969526393075, 61.448173084251884, 26.857249850784783, 30.588811557757914, -16.19144326250047, 25.59576021335408, -40.93164419124249, 54.15735211668893, 45.99549276556589, -74.9119235777412, -4.174023280142343, 84.58592850053533, 21.02926638898765, 26.491553449954523, -125.55506514688858, 47.75621041741504, 45.706407803822735, -17.129571877013227, -17.670446241516466, -11.939775849616588, 67.13814303384088, 15.152642412042468, 3.6417759707492197, 26.048446021044604, -58.01834908815724, -58.45710370303275, 35.85246787812424, -23.42261395255929, 38.961044231967, -23.497581878756833, 3.064815418638698, 29.996795847417427]",person39
"[-23.864399034038147, -126.4071162280229, 136.549803352583, 40.411723546340355, 28.558254505936667, 18.144531221938784, 25.224315117419373, 81.95897171914183, 60.361161746547296, -123.91720567803145, 22.207039904997824, 24.323160578204966, -64.86273750811279, 22.976935866116506, -25.6134973934264, -16.14055036156222, 39.491741631551264, -164.2821269211915, -66.095329900028, -49.099402527626665, -82.08869857499431, -76.28557496156112, 36.975685820338725, 41.71765322268404, -87.43987132959089, -49.272666434445064, -28.482611159884463, 134.32672448521583, 49.30490158178179, 51.18456874283264, 59.77676296723504, 11.69518256261339, -34.235448708344265, 22.896694854060904, 44.29993687874174, -58.18334585694858, 13.335129033873324, -116.83208063674377, -66.26733857120519, 57.9514504354705, 14.230151444926932, -21.124214987939453, -51.4593346450642, -75.32216625697455, 66.09767508979972, -35.98347269024323, -12.900209187655953, 42.86431557340079, 173.98596274730733, 19.345636818476944, 113.23865988938076, -36.753565134127044, 53.02242489028916, 52.37869398027476, 95.66752466383909, 90.23562392140286, 20.22776250699914, 28.42368266212197, -2.9598450914785985, -147.3445298523353]",person30
"[-131.46093717780812, -178.18994675768812, 109.03735246148455, -12.513358672897965, 67.53503951939874, -8.120889905281299, -21.431771393234882, 15.353963789922997, -61.5180944783513, -36.519725824562016, 69.00377392863729, 38.26262481453877, 14.148668629333594, -14.28568590380408, -8.495346705426032, -13.290766081083062, -20.733050450878427, -204.46661014391316, 10.729682098840321, -50.33468375165539, -41.90183241800175, -105.17211912942797, 70.95951551381435, 41.99243551902201, -40.86603831225375, -9.852782865713163, 46.11886087928356, 110.57656752442323, -43.9694106731504, 167.40339618892463, -28.50124887320474, -120.69786664196361, 9.504810902858999, 22.561974937651005, 85.11017448842013, -62.73153764549633, 47.45184241397356, -62.717506130209614, -107.33275031754283, 28.0906642558396, 98.25926226803007, -14.280619024182833, -73.81963043549138, -22.419798329663173, 13.09808968718324, -88.13947812393194, 21.238662388793088, 41.1856333284308, 97.53962382802078, 105.7231569213277, -15.716458837000882, 12.183536456794982, -11.106996709883795, -1.4969997323743982, 95.60722055158294, 8.163053302292688, 86.08323857464684, -6.036077234650013, -82.06829429743563, -20.44261151020276]",person43
"[-34.57494195296058, -87.08150426585414, 109.2124568366317, 7.427150949500991, -17.817110926496696, 68.8249403174569, 27.351518966983562, 50.62373732978894, -37.81039451151865, -39.64140812267409, 5.3425821049664535, 48.692087359559466, 15.00526988675054, 51.255877522747596, -7.208716984534976, 34.017122224900824, -9.183088796597305, -125.56778995070272, 24.059292788198626, 28.005525795263537, -16.434025783084586, -35.5076843165685, 58.87835422361459, 39.759528909596085, -103.07759148269172, -31.340096027609093, -83.27791423062557, 51.41200823861297, 40.350714960297836, -11.672911094657152, 43.32423823223182, -32.18326290427667, 28.586123392627066, 67.70842292823492, 9.64835018853643, -14.961798392227621, 22.206040803674693, -58.94158433752503, -18.137376910877133, 80.93287943135108, 35.358336942512835, -39.510986020527874, -56.93116585086448, -17.511909686521133, 41.55583194226621, -32.53679948603451, 61.27997772883798, 31.9938302339623, 96.81090205431371, 56.46514987372442, 14.763481996296571, 32.463738961534546, -0.48019209982656363, 21.186421314003987, 36.49643084624648, -21.13069615204515, 5.010641776656754, 32.239777513834454, -37.836001069029564, -45.180556927023666]",SM
